album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Are You Satisfied?,6lKRMylSZMtA7EqPl0pcdI,0.669,0.712,C,-4.992,major,0.0412,0.303,0,0.0755,0.843,124.009,198960,4,C major,50
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Shampain,6tJ4sShqZ9ywdalsJs0i6B,0.629,0.878,F,-5.193,major,0.0317,0.00756,8.13e-6,0.126,0.763,116.03,189547,4,F major,45
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,I Am Not A Robot,4Og5nDOUVu3ZrYQP4Ungyg,0.606,0.636,D,-4.559,major,0.0278,0.57,1.65e-6,0.0944,0.452,120.04,214427,4,D major,52
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Girls,0Q10r6aIqGqeUdl6tY8wc7,0.666,0.873,A,-5.072,minor,0.0273,0.0246,2.6e-6,0.0543,0.945,114.006,206493,4,A minor,48
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Mowgli's Road,1DNdiVa4a9dNrC41VEJBtd,0.621,0.808,A#,-6.781,minor,0.0454,0.00639,1.27e-4,0.503,0.678,146.133,190293,4,A# minor,45
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Obsessions,0X3VdkebZGTuL9sMOMoyHy,0.721,0.616,A,-6.795,minor,0.0343,0.677,0.00124,0.0841,0.521,104.955,208133,4,A minor,50
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Hollywood,3JvTWWbauZ4hyVrT2OsePb,0.565,0.817,C,-5.84,major,0.0292,0.00271,0,0.483,0.737,122.969,204947,4,C major,49
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,The Outsider,45nqiqofZWW4NHbXVCK3u6,0.578,0.904,A,-4.261,minor,0.0309,0.295,0,0.189,0.715,147.036,194800,4,A minor,43
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Guilty,0jS1vnnaESYnu6rhZBjfJT,0.678,0.843,G,-5.239,minor,0.0349,0.597,0,0.229,0.66,130.014,219920,4,G minor,40
3dWObfa3vKyudzgmh53Xzg,The Family Jewels,https://i.scdn.co/image/bf7aba7a453f75a2bef7084502c059d768ccdbd1,2010-02-15,2010-02-15,53,Hermit The Frog,41P2Wi4vVI8hXxz5St5a4J,0.617,0.654,C,-4.473,major,0.0295,0.265,0,0.151,0.541,122.052,213560,4,C major,44
