RATING,TITLE,CREDIT,BOX OFFICE,YEAR
16,The Circle,Actor,20.5,2017
70,Beauty and the Beast,Belle,504,2017
76,Noah,Ila,101.2,2014
60,The Bling Ring,Nicki,5.5,2013
83,This Is the End,Emma Watson,96.2,2013
86,The Perks of Being a Wallflower,Sam,14.9,2012
83,My Week with Marilyn,Lucy,12.7,2011
96,Harry Potter and the Deathly Hallows - Part 2,Hermione Granger,381.1,2011
79,Harry Potter and the Deathly Hallows - Part 1,Hermione Granger,295,2010
84,Harry Potter and the Half-Blood Prince,Hermione Granger,302,2009
56,The Tale of Despereaux,Princess Pea,50.9,2008
78,Harry Potter and the Order of the Phoenix,Hermione Granger,292,2007
88,Harry Potter and the Goblet of Fire,Hermione Granger,290,2005
91,Harry Potter and the Prisoner of Azkaban,Hermione Granger,249.4,2004
82,Harry Potter and the Chamber of Secrets,Hermione Granger,261.9,2002
80,Harry Potter and the Sorcerer's Stone,Hermione Granger,317.6,2001
